XCoord,YCoord,OBJECTID,Y_new,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9
6684972.84873646,526911.51063697,1,-0.565743,0.572901,-0.246174,1.062194,2.260267,1.179822,1.133295,0.267113,1.608493,2.463503,0.898097,0.009898,0.015449,-0.017715,-0.015633,0.100106,-0.079548,0.073545,-0.108857,0.011655,-0.195378
6862122.52790096,528172.52779998,2,1.068483,-0.014980,1.258492,-1.132345,-1.091186,0.912092,0.339986,0.915794,-0.186097,0.059938,0.141461,0.061880,0.079633,0.000212,-0.021766,0.575654,-0.523481,0.515717,-0.087255,0.013151,-0.099587
6964113.37247530,529376.82690056,3,-0.122218,-0.160936,0.804602,-0.594094,-0.322299,-0.222235,0.522845,0.953018,-1.102832,-2.225194,-0.370813,0.098723,0.103318,0.093803,0.021901,0.555009,-0.399807,0.253590,0.013991,-0.001107,0.069385
6980216.78875922,529598.92652197,4,0.680763,3.085435,0.541130,2.030129,1.930756,1.607941,1.440175,0.422758,0.426388,0.846297,-0.502832,0.105079,0.105861,0.111331,0.029435,0.524205,-0.352548,0.190542,0.002217,-0.002339,0.114630
7683214.43328606,547792.83928107,5,0.926259,1.114597,-0.346125,-1.769599,-0.538786,1.333101,-0.488483,0.127391,-0.320463,-0.181752,-1.203646,0.442549,-0.013116,-0.244483,-0.029915,-0.098003,-0.374713,0.409027,-0.031459,0.012579,-0.028573
6819123.22380789,534088.70002273,6,1.502337,0.188160,1.515193,-1.022448,-0.803510,0.723965,-0.509815,1.085614,-0.967306,-0.747825,-0.484403,0.045615,0.061186,-0.031190,-0.023783,0.497505,-0.453321,0.495586,-0.156875,0.016370,-0.252775
7269902.38195905,541403.66177073,7,1.022134,0.909669,-0.610195,1.895232,-0.162612,0.980320,0.698333,-0.875745,0.194196,0.098394,0.135758,0.238361,0.091959,0.290023,0.018025,-0.185803,0.567765,-0.397375,0.155535,-0.027698,-0.104729
7441590.63438238,545986.46953423,8,-0.001740,-1.146249,-0.622534,-0.502586,0.253079,0.020097,-1.513206,-0.416373,-0.786646,-0.702584,-0.821053,0.327851,0.048018,0.144222,-0.073234,-0.585459,0.343947,0.024305,-0.229712,-0.265113,0.055659
7693703.00121963,554513.66803098,9,-0.834556,-0.338082,-0.685571,0.563638,-0.506716,0.618902,-0.283384,0.316225,0.923549,0.241106,0.418400,0.444912,-0.009787,-0.268178,-0.022409,-0.065365,-0.381966,0.372995,-0.071754,-0.004831,-0.040163
6802971.01464255,540272.35399398,10,-0.055863,-0.891014,-1.700248,-0.100983,0.379880,-0.539944,-0.413676,0.880711,-0.702669,0.734151,0.801048,0.038220,0.050610,-0.044762,-0.016179,0.459655,-0.405292,0.474420,-0.163863,0.021554,-0.298283
