XCoord,YCoord,OBJECTID,Y_new,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9
6701077.64001764,526982.58168906,1,-0.804669,1.063344,0.489374,1.449126,-0.112285,1.396663,-0.543701,0.951431,1.020849,2.359241,2.294947,0.014192,0.021995,-0.024044,-0.021443,0.145953,-0.119800,0.115609,-0.149031,0.016453,-0.272593
6722550.63020806,527090.89708923,2,0.029096,0.512989,0.922972,1.365611,1.471483,1.301786,1.136165,0.557489,0.003034,1.851756,-0.515915,0.020002,0.030599,-0.030570,-0.027862,0.210064,-0.179897,0.182163,-0.191740,0.022077,-0.356638
6733287.09462747,527150.86383282,3,0.061969,-1.272040,1.023764,-0.442096,-0.218016,0.979579,0.653664,-0.705385,0.332979,1.442677,-1.740999,0.022953,0.034831,-0.032866,-0.030408,0.243088,-0.212165,0.218838,-0.207374,0.024365,-0.386866
6781600.88841964,527468.63780355,4,-0.669301,0.420492,1.268794,-0.370899,1.679990,-1.676841,-0.090790,0.434973,1.750405,-0.746015,-0.382094,0.036707,0.053112,-0.033902,-0.035643,0.391751,-0.361874,0.387003,-0.222809,0.028314,-0.396354
6792337.21307555,527549.90404522,5,-0.204065,-0.396814,0.853841,-0.112524,0.770496,0.202684,1.166383,-0.836001,-1.865059,-0.292351,0.356109,0.039887,0.056967,-0.031930,-0.035368,0.422882,-0.392885,0.419614,-0.214052,0.027615,-0.370504
6819177.88970906,527770.01187272,6,-0.022684,-0.350738,-0.697781,-0.100979,-0.757922,-0.532336,-0.553678,-1.352757,-1.537944,0.623980,-0.139343,0.048063,0.066206,-0.023441,-0.032448,0.493654,-0.460324,0.483635,-0.176072,0.023607,-0.274639
6856754.48056622,528118.82482339,7,0.187980,-0.014256,-0.100890,0.274102,-0.450857,1.229798,0.621932,0.125894,-1.462508,0.314500,0.404191,0.060101,0.078055,-0.003378,-0.023459,0.567984,-0.519208,0.517016,-0.098942,0.014543,-0.118813
6878226.61085021,528339.44577323,8,0.773072,-0.020548,-1.137141,-0.856135,-1.663656,0.094840,-1.371493,-0.444043,0.253707,0.880356,-2.018882,0.067311,0.084184,0.011970,-0.016161,0.593667,-0.529536,0.502636,-0.053467,0.009156,-0.051694
6883594.61783072,528397.02111739,9,-0.732753,-0.356057,-0.971821,0.627858,0.221416,-0.790182,1.474063,1.752567,1.061277,0.224379,0.585269,0.069153,0.085638,0.016202,-0.014134,0.597944,-0.529267,0.495295,-0.042971,0.007929,-0.039409
6888962.61464064,528455.56463547,10,-0.495274,-0.665065,0.100544,0.577148,-0.905628,-1.290039,-0.080265,-0.268420,-0.164734,-1.317390,0.040736,0.071011,0.087060,0.020582,-0.012035,0.601334,-0.527851,0.486527,-0.033021,0.006775,-0.029028
6894330.60095188,528515.07632747,11,0.680631,0.632741,-0.180318,0.169588,1.267248,1.499593,0.274451,0.050379,1.374019,1.145554,-0.295070,0.072884,0.088449,0.025102,-0.009869,0.603826,-0.525294,0.476381,-0.023710,0.005703,-0.020478
6905066.54076606,528637.00423323,12,1.514805,0.778264,-0.461988,1.236182,0.157133,1.158336,-0.576022,0.791954,-0.470307,0.206967,-0.073104,0.076680,0.091126,0.034543,-0.005360,0.606089,-0.516806,0.452196,-0.007343,0.003835,-0.008161
6926538.28423980,528892.47714747,13,0.732241,0.846733,-1.516521,0.672768,1.365984,2.412481,2.142233,2.049576,2.413934,0.555409,0.664439,0.084466,0.096066,0.054847,0.004226,0.599700,-0.486959,0.390317,0.014492,0.001268,0.007959
6942641.96823972,529094.24708514,14,0.970571,-2.602710,-0.625482,0.242285,-0.880054,0.921675,0.364905,-0.491781,-1.254554,-0.159103,0.301340,0.090478,0.099396,0.071107,0.011739,0.585553,-0.454388,0.334812,0.020125,0.000167,0.026341
6948009.83840947,529163.43986015,15,-3.092826,-1.451836,0.559673,-0.632967,-0.691198,-1.982426,1.967745,-0.482317,-1.869384,-0.061950,-0.623372,0.092514,0.100432,0.076687,0.014275,0.579127,-0.441829,0.315085,0.019951,-0.000133,0.035015
6953377.69578397,529233.60080907,16,0.258358,0.523519,0.065135,-0.007018,-0.561758,0.775862,0.035639,-0.749619,-1.329983,-1.643251,0.892055,0.094568,0.101432,0.082334,0.016818,0.571878,-0.428507,0.294908,0.018818,-0.000439,0.045096
6985584.56739372,529674.89585823,17,1.288800,1.295762,1.629734,1.553979,0.676830,1.386912,1.790305,2.176759,2.328855,0.357803,0.363113,0.107230,0.106631,0.117231,0.031901,0.512601,-0.335930,0.169558,-0.002217,-0.002822,0.131425
